Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2019,2020,,"% Change 2nd week September 2019, compared to:",,,,
Sinhala Name,,Common Name,2nd week September,1st week September,2nd week September,Last week ,Last Year,,,
1,තෝරා,Seer (Nl),1450,1140,1260,0.10526315789473684,-0.1310344827586207,,තෝරා බිලී,1260.0
2,පරව් (ලොකු),Trevally (L),590,623.3333333333334,587.5,-0.05748663101604284,-0.00423728813559322,,තෝරා නයිලෝන්,
3,ගල්මාළු (ලොකු),Rock fish (L),­,600,,­,­,,පරව් (ලොකු),587.5
4,තලපත්,Sail fish,700,680,663.5714285714286,-0.024159663865546244,-0.05204081632653063,,පරව් (මධ්‍යම),800.0
5,බලයා,Skipjack tuna,420,381.6666666666667,406.42857142857144,0.06487835308796007,-0.03231292517006799,,පරව් (කුඩා),
6,කෙළවල්ලා,Yellowfin tuna,790,590,652.5,0.1059322033898305,-0.17405063291139242,,කහ පරව්,766.6666666666666
7,සාලයා (මට්ට),Sardinella,252,195,169.28571428571428,-0.1318681318681319,-0.32823129251700683,,කබර පරව්,700.0
8,මෝරා,Sharks,625,533.3333333333334,508.3333333333333,-0.046875000000000104,-0.1866666666666667,,ඇට නගුල් පරව්,650.0
9,හුරුල්ලා,Herrings,397,296.6666666666667,333.3333333333333,0.12359550561797739,-0.16036943744752313,,පරාවි,400.0
10,කුම්බලා,Indian Mackerel,582.5,401.6666666666667,390,-0.029045643153527017,-0.33047210300429186,,අංජිලා (නයිලෝන්),980.0
11,කාරල්ලා,Pony fish,166.67,150,180,0.2,0.07997840043199145,,අංජිලා (බිලී),1080.0
12,කටුවල්ලා,Katuwalla,180,,,­,-1,,බලයා (ටැංකි),300.0
13,හාල්මැස්සා,Anchovy,316,350,350,0,0.10759493670886076,,බලයා (ලොකු),406.42857142857144
14,ඉස්සා (M),"Prawns (M) 3""",1120,1137.5,1083.3333333333333,-0.047619047619047686,-0.03273809523809531,,බලයා (මධ්‍යම),365.0
15, කොප්පරා,Marlins,860,874.1666666666666,882.8571428571429,0.009941440827999536,0.026578073089701035,,බලයා (කුඩා),400.0
16,අලගොඩුවා,Frigate tuna,377,380,430,0.13157894736842105,0.14058355437665782,,කෙලවල්ලා( ලොකු),652.5
17,ඇටවල්ලා,Atawalla,402.5,341.6666666666667,425,0.24390243902439018,0.055900621118012424,,කෙලවල්ලා (මධ්‍යම),
18,ඇටිස්සා,Red Bream,743.33,740,733.3333333333334,-0.009009009009008959,-0.01344849080040718,,කෙලවල්ලා (කුඩා),650.0
19,බෝල්ලා,Big eye scade,380,,382.85714285714283,,0.007518796992481139,, කෙන්දා (බොකු සහිත) ,642.5
20,ගින්නටි පරව්,Ginnati Paraw,770,728.75,666.6666666666666,-0.08519153802172676,-0.13419913419913423,, කෙන්දා (G) ,600.0
21,හබරලි,Needle fish,541.67,508.3333333333333,600,0.18032786885245905,0.10768549116620829,,තලපත් (ලොකු),663.5714285714286
22,හැඩැල්ලා,Indian Anchovies,641.67,925,750,-0.1891891891891892,0.16882509701248313,,තලපත් (කුඩා),
23,ජීලාවා,Barracuda,800,636,600,­,-0.25,,තලපත් (wet),894.0
24,ලින්නා,Indian Scad,343.33,330,330.7142857142857,0.0021645021645021892,-0.03674515563951377,,කොප්පරා (wet),
25,ලේන පරව්,Rainbow Runner,401.67,355,358,0.008450704225352112,-0.10872108945153985,,කොප්පරා,882.8571428571429
26,සුද්දා,Threadfin  Bream,438.33,412.5,492,0.19272727272727272,0.12244199575662176,,මෝරු (ශුද්ධ),508.3333333333333
27,සූඩයා,White Sardinella,161,143,141,-0.013986013986013986,-0.12422360248447205,,කිරි මෝරා,500.0
28,දැල්ලා,Squids /Cuttle fish,943.75,683.3333333333334,760.7142857142857,0.11324041811846676,-0.1939451277199622,,ගල් මාළු (ලොකු),
29,කකුළුවා,Sea Crabs,550,625,707.5,0.132,0.2863636363636364,,ගල් මාළු (කුඩා),
30,තිලාපියා,Tilapia (M),376.66,333.3333333333333,430,0.2900000000000001,0.14161312589603348,,රතු ගල් මාළු ,575.0
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,කොස්සා,
,,,,,,,,,ඇටිස්සා (මධ්‍යම),750.0
,,,,,,,,,ඇටිස්සා (ලොකු),733.3333333333334
,,,,,,,,,ඇටිස්සා (කුඩා),566.6666666666666
,,,,,,,,,හබරලි (රවුම්),600.0
,,,,,,,,,හබරලි (පටි),
,,,,,,,,,ජීලා (ලොකු),600.0
,,,,,,,,,ජීලා (මධ්‍යම),566.6666666666666
,,,,,,,,,ජීලා (කුඩා),376.0
,,,,,,,,,අලගොඩුවා (ලොකු),430.0
,,,,,,,,,අලගොඩුවා (මධ්‍යම),
,,,,,,,,,අලගොඩුවා (කුඩා),
,,,,,,,,,ඇටවල්ලා (ලොකු),425.0
,,,,,,,,,ඇටවල්ලා(මධ්‍යම),350.0
,,,,,,,,,ඇටවල්ලා (කුඩා),407.5
,,,,,,,,,පියාමැස්සා (ලොකු),
,,,,,,,,,පියාමැස්සා (මධ්‍යම),
,,,,,,,,,පියාමැස්සා (කුඩා),
,,,,,,,,,හුරුල්ලා,333.3333333333333
,,,,,,,,,ගල් හුරුල්ලා,433.3333333333333
,,,,,,,,,සාලයා(යක්),150.0
,,,,,,,,,සාලයා(මට්ට),169.28571428571428
,,,,,,,,,හාල්මැස්සා,350.0
,,,,,,,,,සප්පරා (ශුද්ධ),507.14285714285717
,,,,,,,,,වන්නා,366.6666666666667
,,,,,,,,,දැල්ලා(පිලී),760.7142857142857
,,,,,,,,,දැල්ලා(ගෙබි),
,,,,,,,,,දැල්ලා(කුඩා),560.0
,,,,,,,,,දැල්ලා (ශුද්ධ),
,,,,,,,,,ඉස්සා (ලොකු),1164.2857142857142
,,,,,,,,,ඉස්සා (මධ්‍යම),1083.3333333333333
,,,,,,,,,ඉස්සා (කුඩා),653.5714285714286
,,,,,,,,,සවරා,921.4285714285714
,,,,,,,,,මොරැල්ලා,328.3333333333333
,,,,,,,,,ලින්නා (ලොකු),330.7142857142857
,,,,,,,,,ලින්නා (කුඩා),
,,,,,,,,,සුද්දා,492.0
,,,,,,,,,මුහුදු කකුළුවා (ලොකු),707.5
,,,,,,,,,මුහුදු කකුළුවා (මධ්‍යම),
,,,,,,,,,මුහුදු කකුළුවා (කුඩා),
,,,,,,,,,ලේන පරව්,358.0
,,,,,,,,,වව්වාලයා (ලොකු),
,,,,,,,,,වව්වාලයා (කුඩා),
,,,,,,,,,ලෝමැස්සා (ලොකු),492.0
,,,,,,,,,ලෝමැස්සා (මධ්‍යම),
,,,,,,,,,ලෝමැස්සා (කුඩා),
,,,,,,,,,ගින්නටි පරව්,666.6666666666666
,,,,,,,,,කටුවල්ලා (ලොකු),
,,,,,,,,,කටුවල්ලා (මධ්‍යම),
,,,,,,,,,කටුවල්ලා (කුඩා),
,,,,,,,,,අගයා,425.0
,,,,,,,,,ගොඩයා (කුඩා),
,,,,,,,,,ගොඩයා (ලොකු),
,,,,,,,,,කලන්දා,
,,,,,,,,,සූඩයා,141.0
,,,,,,,,,සිලින්දා,
,,,,,,,,,කාරල්ලා,180.0
,,,,,,,,,මාළු බිත්තර,
,,,,,,,,,තිලාපියා (කුඩා),
,,,,,,,,,තිලාපියා (මධ්‍යම),358.3333333333333
,,,,,,,,,තිලාපියා (ලොකු),430.0
,,,,,,,,,වෙල්ල සූඩයා,
,,,,,,,,,තොණ්ඩයා,180.0
,,,,,,,,,පොතුබරි,166.66666666666666
,,,,,,,,,මෝදා,700.0
,,,,,,,,,කිරලාවා,
,,,,,,,,,මඩුවා (ලොකු),337.5
,,,,,,,,,මඩුවා (මධ්‍යම),325.0
,,,,,,,,,මඩුවා (කුඩා),
,,,,,,,,,පානතඹුවා,
,,,,,,,,,ශුද්ධ කොයි,
,,,,,,,,,කුම්බලාවා,390.0
,,,,,,,,,බෝල්ලා,382.85714285714283
,,,,,,,,,හැඩැල්ලා,750.0
,,,,,,,,,සුරා පරව්,405.0
,,,,,,,,,සුරා පරව් (S),
,,,,,,,,,දිවුලා,
,,,,,,,,,හිරි කනයා,
,,,,,,,,,ලූලා,
,,,,,,,,,බයිටා,
,,,,,,,,,අංජිලා ,
,,,,,,,,,මූදිල්ලා,
,,,,,,,,,දැල්ලා(ලොකු),
,,,,,,,,,දැල්ලා(මධ්‍යම),
,,,,,,,,,කුම්බලාවා (S),
,,,,,,,,,බෝල්ලා (S),
